Wall time,Step,Value
1667369773.605422,1,0.006330486387014389
1667369783.8513815,2,0.006298827938735485
1667369794.4840431,3,0.006267366465181112
1667369804.7102685,4,0.006236114073544741
1667369814.887224,5,0.006205074954777956
1667369825.0271628,6,0.006174250040203333
1667369835.0082664,7,0.006143642123788595
1667369845.294109,8,0.006113255396485329
1667369855.8873816,9,0.006083094980567694
1667369866.4733214,10,0.006053166929632425
1667369876.510235,11,0.006023478228598833
1667369886.3752887,12,0.005994034465402365
1667369896.7923903,13,0.005964841227978468
1667369906.7517853,14,0.005935902241617441
1667369916.7420979,15,0.00590722169727087
1667369927.949787,16,0.005878800991922617
1667369939.016883,17,0.005850641988217831
1667369949.348145,18,0.005822745617479086
1667369959.366737,19,0.005795112811028957
1667369969.5054214,20,0.00576774450019002
1667369980.6922858,21,0.005740642547607422
1667369990.9923177,22,0.005713806953281164
1667370001.2361639,23,0.005687240045517683
1667370011.3573718,24,0.0056609418243169785
1667370031.5978427,26,0.005609154235571623
1667370041.733254,27,0.005583664868026972
1667370051.7890248,28,0.005558444187045097
1667370062.13739,29,0.0055334907956421375
1667370073.2704778,30,0.005508802831172943
1667370083.360006,31,0.005484377965331078
1667370093.6092584,32,0.005460214801132679
1667370103.6686463,33,0.0054363105446100235
1667370114.020837,34,0.005412662867456675
1667370124.1400747,35,0.005389269441366196
1667370134.3759415,36,0.00536612793803215
1667370144.501324,37,0.005343236029148102
1667370154.6289337,38,0.0053205909207463264
1667370164.60002,39,0.005298190750181675
1667370175.4750304,40,0.005276033654808998
1667370185.9591732,41,0.005254116374999285
1667370207.3002176,43,0.0052109952084720135
1667370217.2511935,44,0.005189787596464157
1667370227.2796028,45,0.005168812349438667
1667370237.6221528,46,0.005148067604750395
1667370248.401612,47,0.005127552431076765
1667370258.282759,48,0.005107264965772629
1667370268.7914786,49,0.005087203811854124
1667370279.025323,50,0.005067367572337389
1667370289.1282718,51,0.005047754850238562
1667370299.1733935,52,0.005028363782912493
1667370308.9778657,53,0.0050091929733753204
1667370319.7187934,54,0.00499024149030447
1667370329.971925,55,0.00497150793671608
1667370340.095858,56,0.004952990449965
1667370350.0403194,57,0.0049346876330673695
1667370360.145143,58,0.004916597623378038
1667370371.0408108,59,0.004898719489574432
1667370391.1340017,61,0.0048635913990437984
1667370401.6113472,62,0.004846338182687759
1667370411.983019,63,0.0048292893916368484
1667370421.988949,64,0.004812443628907204
